id,is_iceberg
5941774d,0.022661246
4023181e,0.281292945
b20200e4,0.065909907
e7f018bb,0.995712340
4371c8c3,0.042112745
a8d9b1fd,0.292252302
29e7727e,0.277459741
92a51ffb,0.998743653
c769ac97,0.000038020
aee0547d,0.000001774
565b28ac,0.000002655
e04e9775,0.160532147
8e8161d1,0.000577532
4cf4d256,0.446168512
139e5324,0.048034701
f156976f,0.005541724
68a117cc,0.021538785
d9aa7a56,0.098994792
9005b143,0.148265824
5f6d3988,0.946585178
9ad70954,0.055336472
b9087b9e,0.493087530
a39a1427,0.258288383
82fbe8ed,0.031014748
1fae4879,0.000000240
6dd8f13d,0.018923698
bbad5958,0.097916327
54527583,0.248175412
be8fa29c,0.103654161
81a3328f,0.993440688
1a3c0ab3,0.023902155
4deeeb8b,0.339780718
ac6d5632,0.194157645
472dadb5,0.063066930
96093f95,0.851447940
f5b4e3df,0.960979164
e01a3c92,0.263656855
001680af,0.047327563
8e639f33,0.143390074
a2c16612,0.872813761
a6d76474,0.000001325
19c47684,0.252316386
015827b6,0.156641871
7df7f7ce,0.009988572
0bbf1a3f,0.545218050
636cfbb7,0.548265219
7370030a,0.999621809
43aa97ad,0.000094432
ba2b5e63,0.999222696
dfdd335b,0.368134439
e79b13dc,0.001069744
dc32b195,0.331378311
6d868590,0.980167329
75fa59aa,0.149282634
ffe50836,0.146054491
a7bfd784,0.957609296
b3d569e3,0.014967983
6c538c5b,0.111050859
5c7c15f4,0.166666031
0b745139,0.056361053
fd14608e,0.382141352
f0bc8305,0.165536925
a10ccb28,0.999633372
543304c7,0.339134783
6c3a4078,0.000000670
9b73cc75,0.402206182
5c6c71b1,0.023207758
09ee9186,0.326466888
207c35cf,0.132276773
153c813e,0.129041046
5605d58b,0.317995787
642ca396,0.006977132
d32d72c0,0.184947968
16646a17,0.961431205
384074af,0.159397125
69bf1e8c,0.515564501
9e90a054,0.374460638
89dbe7f7,0.997663021
dbd27d22,0.296659946
a2ea1561,0.193053663
d63402af,0.139430925
1ac8bb92,0.975647151
8beffca5,0.061381459
46741f3e,0.003346529
e5ee6aa7,0.044002734
5ecd892b,0.679522336
69892166,0.000403358
2f725a81,0.155254439
810abfe4,0.018037660
e6f973e6,0.165077716
c60a5c46,0.172792345
c42b9e08,0.153420046
c3f00c23,0.063801326
5307fdb8,0.921075284
3e4f005e,0.005019508
4a4cc2e0,0.870990634
9bdd88d1,0.000010605
0d832bed,0.022580542
14a134fa,0.070167974
78a41676,0.000474049
0bd4658e,0.191178352
4a311bb0,0.709622443
f939c817,0.244478017
956adc4d,0.996951461
f8a119f5,0.599612474
61faa1ad,0.156420991
6725eb3e,0.012577644
17b3a8fd,0.060248859
49a88dfc,0.000005140
2d6ec645,0.321427017
0d4d77ba,0.542176366
3ee672a2,0.999738276
738b41fd,0.204711094
f7fb320d,0.275761902
b42fad18,0.000138839
4ab8b00a,0.306815952
f7870f2b,0.019135043
4978666a,0.670921743
f1b0d6c7,0.018072413
5642407f,0.006199025
36d4ff92,0.983369648
