10folds, Phase1,with augm,no dense,At fold 0, seed 98292,round 1 we find one with acc: 91.30434782608695, loss: 0.22893007219948383
10folds, Phase1,with augm,no dense,At fold 0, seed 98292,round 2 we find one with acc: 91.92546583850931, loss: 0.2153060349248211
10folds, Phase1,with augm,no dense,At fold 0, seed 98292,round 3 we find one with acc: 91.30434782608695, loss: 0.23673463413804213
10folds, Phase1,with augm,no dense,At fold 1, seed 98292,round 1 we find one with acc: 93.16770186335404, loss: 0.19520785405028682
10folds, Phase1,with augm,no dense,At fold 1, seed 98292,round 3 we find one with acc: 89.44099378881988, loss: 0.2524270918798743
10folds, Phase1,with augm,no dense,At fold 2, seed 98292,round 1 we find one with acc: 89.44099378881988, loss: 0.34178574707197107
10folds, Phase1,with augm,no dense,At fold 2, seed 98292,round 2 we find one with acc: 88.19875776397515, loss: 0.29150355871049516
10folds, Phase1,with augm,no dense,At fold 2, seed 98292,round 3 we find one with acc: 90.6832298136646, loss: 0.2778443377580702
10folds, Phase1,with augm,no dense,At fold 3, seed 98292,round 1 we find one with acc: 93.7888198757764, loss: 0.17593774847362353
10folds, Phase1,with augm,no dense,At fold 3, seed 98292,round 2 we find one with acc: 92.54658385093168, loss: 0.2200942852112077
10folds, Phase1,with augm,no dense,At fold 3, seed 98292,round 3 we find one with acc: 93.16770186335404, loss: 0.19672270072913317
10folds, Phase1,with augm,no dense,At fold 4, seed 98292,round 1 we find one with acc: 95.0, loss: 0.13824762552976608
10folds, Phase1,with augm,no dense,At fold 4, seed 98292,round 2 we find one with acc: 91.875, loss: 0.19564187824726104
10folds, Phase1,with augm,no dense,At fold 4, seed 98292,round 3 we find one with acc: 93.125, loss: 0.1767052836716175
10folds, Phase1,with augm,no dense,At fold 5, seed 98292,round 1 we find one with acc: 96.875, loss: 0.12140749096870422
10folds, Phase1,with augm,no dense,At fold 5, seed 98292,round 2 we find one with acc: 94.375, loss: 0.1258113130927086
10folds, Phase1,with augm,no dense,At fold 5, seed 98292,round 3 we find one with acc: 95.0, loss: 0.15184170454740525
10folds, Phase1,with augm,no dense,At fold 6, seed 98292,round 1 we find one with acc: 93.75, loss: 0.14739013016223906
10folds, Phase1,with augm,no dense,At fold 6, seed 98292,round 2 we find one with acc: 95.0, loss: 0.14191757142543793
10folds, Phase1,with augm,no dense,At fold 6, seed 98292,round 3 we find one with acc: 95.625, loss: 0.14661561250686644
10folds, Phase1,with augm,no dense,At fold 7, seed 98292,round 1 we find one with acc: 93.125, loss: 0.22093401849269867
10folds, Phase1,with augm,no dense,At fold 7, seed 98292,round 2 we find one with acc: 95.0, loss: 0.1596905767917633
10folds, Phase1,with augm,no dense,At fold 7, seed 98292,round 3 we find one with acc: 93.75, loss: 0.20470113307237625
10folds, Phase1,with augm,no dense,At fold 8, seed 98292,round 1 we find one with acc: 91.875, loss: 0.2424511656165123
10folds, Phase1,with augm,no dense,At fold 8, seed 98292,round 2 we find one with acc: 91.25, loss: 0.20811678022146224
10folds, Phase1,with augm,no dense,At fold 8, seed 98292,round 3 we find one with acc: 91.875, loss: 0.20568601042032242
10folds, Phase1,with augm,no dense,At fold 9, seed 98292,round 1 we find one with acc: 94.375, loss: 0.19286504685878753
10folds, Phase1,with augm,no dense,At fold 9, seed 98292,round 2 we find one with acc: 94.375, loss: 0.18387530744075775
10folds, Phase1,with augm,no dense,At fold 9, seed 98292,round 3 we find one with acc: 93.125, loss: 0.19386926293373108
10folds, Phase1,At fold 0, seed 98412,round 1 we find one with acc: 95.03105590062111, loss: 0.1427511489539413
10folds, Phase1,At fold 0, seed 98412,round 2 we find one with acc: 96.27329192546584, loss: 0.11705697015483187
10folds, Phase1,At fold 0, seed 98412,round 3 we find one with acc: 90.6832298136646, loss: 0.17253940899549805
10folds, Phase1,At fold 1, seed 98412,round 1 we find one with acc: 95.65217391304348, loss: 0.1579215906976913
10folds, Phase1,At fold 1, seed 98412,round 2 we find one with acc: 95.65217391304348, loss: 0.15129036956137012
10folds, Phase1,At fold 1, seed 98412,round 3 we find one with acc: 95.03105590062111, loss: 0.1650231900098531
10folds, Phase1,At fold 2, seed 98412,round 1 we find one with acc: 91.30434782608695, loss: 0.2518167785420921
10folds, Phase1,At fold 2, seed 98412,round 2 we find one with acc: 92.54658385093168, loss: 0.21788761482475708
10folds, Phase1,At fold 2, seed 98412,round 3 we find one with acc: 93.16770186335404, loss: 0.2742685491438978
10folds, Phase1,At fold 3, seed 98412,round 1 we find one with acc: 91.92546583850931, loss: 0.2058409735652971
10folds, Phase1,At fold 3, seed 98412,round 2 we find one with acc: 91.92546583850931, loss: 0.26160287560883516
10folds, Phase1,At fold 3, seed 98412,round 3 we find one with acc: 92.54658385093168, loss: 0.2262251647362798
10folds, Phase1,At fold 4, seed 98412,round 1 we find one with acc: 95.625, loss: 0.1452391505241394
10folds, Phase1,At fold 4, seed 98412,round 2 we find one with acc: 94.375, loss: 0.13585790395736694
10folds, Phase1,At fold 4, seed 98412,round 3 we find one with acc: 93.125, loss: 0.1841724157333374
10folds, Phase1,At fold 5, seed 98412,round 1 we find one with acc: 95.625, loss: 0.1300133854150772
10folds, Phase1,At fold 5, seed 98412,round 2 we find one with acc: 96.25, loss: 0.11382569372653961
10folds, Phase1,At fold 5, seed 98412,round 3 we find one with acc: 95.0, loss: 0.13529252707958223
10folds, Phase1,At fold 6, seed 98412,round 1 we find one with acc: 90.625, loss: 0.2806652307510376
10folds, Phase1,At fold 6, seed 98412,round 2 we find one with acc: 91.875, loss: 0.3119780719280243
10folds, Phase1,At fold 6, seed 98412,round 3 we find one with acc: 90.0, loss: 0.28002565205097196
10folds, Phase1,At fold 7, seed 98412,round 1 we find one with acc: 90.625, loss: 0.22744384706020354
10folds, Phase1,At fold 7, seed 98412,round 2 we find one with acc: 91.25, loss: 0.245596981048584
10folds, Phase1,At fold 7, seed 98412,round 3 we find one with acc: 89.375, loss: 0.257652223110199
10folds, Phase1,At fold 8, seed 98412,round 1 we find one with acc: 89.375, loss: 0.23261014521121978
10folds, Phase1,At fold 8, seed 98412,round 2 we find one with acc: 88.75, loss: 0.24917221069335938
10folds, Phase1,At fold 8, seed 98412,round 3 we find one with acc: 91.875, loss: 0.23221468031406403
10folds, Phase1,At fold 9, seed 98412,round 1 we find one with acc: 95.0, loss: 0.15436579436063766
10folds, Phase1,At fold 9, seed 98412,round 2 we find one with acc: 95.625, loss: 0.14028729796409606
10folds, Phase1,At fold 9, seed 98412,round 3 we find one with acc: 95.0, loss: 0.15665524303913117
10folds, Phase1,At fold 0, seed 96982,round 1 we find one with acc: 94.40993788819875, loss: 0.20280960428973901
10folds, Phase1,At fold 0, seed 96982,round 2 we find one with acc: 91.92546583850931, loss: 0.26044232393643874
10folds, Phase1,At fold 0, seed 96982,round 3 we find one with acc: 92.54658385093168, loss: 0.24635983244602724
10folds, Phase1,At fold 1, seed 96982,round 1 we find one with acc: 94.40993788819875, loss: 0.15977886541289574
10folds, Phase1,At fold 1, seed 96982,round 2 we find one with acc: 92.54658385093168, loss: 0.2049062344598474
